last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Cabrera, Miguel,408234,2021,.234,.420,.315,.301,.186,91.4,10,8.3,
Cruz Jr., Nelson,443558,2021,.264,.512,.363,.341,.248,92.9,11.8,13.6,
Peralta, David,444482,2021,.243,.345,.293,.313,.103,89.3,5.3,5,
Blackmon, Charlie,453568,2021,.291,.450,.359,.369,.160,87.6,10.2,7,
McCutchen, Andrew,457705,2021,.240,.431,.344,.352,.191,88.8,14.6,9,
Turner, Justin,457759,2021,.270,.470,.359,.358,.199,90.9,19.2,7.9,
Votto, Joey,458015,2021,.274,.592,.406,.383,.318,92.9,18.2,17.2,
Andrus, Elvis,462101,2021,.273,.375,.308,.324,.102,87.8,8.1,2.1,
Santana, Carlos,467793,2021,.244,.421,.335,.345,.177,89.9,12.9,6.8,
Lowrie, Jed,476704,2021,.259,.464,.343,.332,.206,90.7,16.4,9.3,
Brantley Jr., Michael,488726,2021,.312,.466,.361,.365,.154,89.5,9.9,5.8,
Gurriel, Yuli,493329,2021,.271,.386,.326,.347,.115,89.8,13.4,3.4,
Rojas, Miguel,500743,2021,.249,.345,.292,.308,.096,86.2,11.5,2.8,
Escobar, Eduardo,500871,2021,.249,.453,.328,.310,.205,87,20.8,8.9,
Pham, Tommy,502054,2021,.253,.438,.350,.362,.185,90.8,7.6,10,
Martinez, J.D.,502110,2021,.288,.533,.374,.352,.245,92.1,16.9,12.5,
Goldschmidt, Paul,502671,2021,.293,.575,.397,.366,.282,92.6,17.1,13.6,
Altuve, Jose,514888,2021,.262,.421,.332,.339,.159,87.7,15.6,6.4,
Hernandez, Cesar,514917,2021,.243,.386,.311,.319,.144,87.4,10.7,6.8,
Segura, Jean,516416,2021,.266,.396,.319,.328,.130,87.2,5.8,5.9,
Marte, Starling,516782,2021,.277,.438,.347,.354,.161,87.6,4.6,8.4,
Donaldson, Josh,518626,2021,.269,.542,.388,.372,.273,94.1,14.6,17.4,
Freeman, Freddie,518692,2021,.320,.583,.416,.410,.263,91.4,12,11.5,
LeMahieu, DJ,518934,2021,.283,.397,.340,.366,.114,90.6,5,3.7,
Rizzo, Anthony,519203,2021,.261,.434,.347,.356,.173,90.1,14.8,7.7,
Stanton, Giancarlo,519317,2021,.262,.498,.363,.346,.237,95.1,10.3,15.7,
Perez, Salvador,521692,2021,.276,.565,.374,.321,.289,93,15.9,16.3,
Garcia, Avisail,541645,2021,.278,.515,.367,.347,.237,90.4,9.3,12.2,
Villar, Jonathan,542340,2021,.235,.388,.307,.310,.153,88,7,7.4,
Aguilar, Jesus,542583,2021,.260,.453,.334,.329,.193,89.6,19,8.5,
Crawford, Brandon,543063,2021,.259,.492,.356,.341,.233,88.8,14.7,11.5,
Cron, C.J.,543068,2021,.261,.481,.364,.360,.220,88.8,15.8,11.5,
Grossman, Robbie,543257,2021,.234,.399,.334,.355,.165,87.8,21.1,7.6,
Harrison, Josh,543281,2021,.278,.420,.333,.340,.142,87.2,14.5,4.4,
Hosmer, Eric,543333,2021,.268,.406,.326,.337,.137,90.5,3.3,5.8,
Semien, Marcus,543760,2021,.249,.459,.336,.320,.211,89.7,20.3,9.8,
Grichuk, Randal,545341,2021,.234,.402,.297,.278,.167,89.8,16.1,8.5,
Harper, Bryce,547180,2021,.301,.609,.430,.423,.308,92.5,13.3,18.1,
Abreu, Jose,547989,2021,.252,.457,.349,.347,.205,92,10.4,10.2,
Suarez, Eugenio,553993,2021,.215,.455,.326,.302,.240,89.1,18.3,15,
Schoop, Jonathan,570731,2021,.258,.404,.311,.305,.147,88.1,10.8,6.8,
Arenado, Nolan,571448,2021,.248,.420,.311,.308,.172,89,20,6.7,
Farmer, Kyle,571657,2021,.252,.383,.302,.306,.132,87.2,15.8,4.3,
Haniger, Mitch,571745,2021,.262,.497,.353,.329,.235,89.3,14.8,12.6,
Hernandez, Enrique,571771,2021,.253,.454,.346,.342,.201,90.8,17.9,8.4,
Muncy, Max,571970,2021,.271,.580,.407,.387,.309,91.2,15.2,16.1,
Seager, Kyle,572122,2021,.221,.452,.319,.294,.231,89,19.5,12.3,
Taylor, Michael A.,572191,2021,.246,.390,.300,.299,.144,89.4,12.1,6.6,
Yastrzemski, Mike,573262,2021,.221,.431,.318,.309,.210,89.5,19.4,10.3,
Iglesias, Jose,578428,2021,.270,.366,.297,.308,.096,85.4,11.5,3.4,
